bodyPart,equipment,gifUrl,id,name,target,secondaryMuscles,instructions,description,difficulty,category
back,leverage machine,https://v2.exercisedb.io/image/AAWNoSFvi3HxZs,0015,assisted parallel close grip pull-up,lats,"['biceps', 'forearms']","['Adjust the machine to your desired weight and height.', 'Place your hands on the parallel bars with a close grip, palms facing each other.', 'Hang from the bars with your arms fully extended and your feet off the ground.', 'Engage your back muscles and pull your body up towards the bars, keeping your elbows close to your body.', 'Continue pulling until your chin is above the bars.', 'Pause for a moment at the top, then slowly lower your body back down to the starting position.', 'Repeat for the desired number of repetitions.']","The assisted parallel close grip pull-up is a back exercise performed on a leverage machine that helps users perform pull-ups with added support, making it easier to complete the movement and focus on form.",beginner,strength
upper legs,assisted,https://v2.exercisedb.io/image/Nz3sZ92VHXEPtF,0016,assisted prone hamstring,hamstrings,"['glutes', 'lower back']","['Lie face down on a mat or bench with your legs fully extended.', 'Have a partner or use a resistance band to secure your ankles.', 'Engage your hamstrings and lift your legs towards your glutes, keeping your knees straight.', 'Pause for a moment at the top, then slowly lower your legs back down to the starting position.', 'Repeat for the desired number of repetitions.']","The assisted prone hamstring exercise targets the hamstrings with assistance from a partner or resistance band, making it accessible for those developing strength or needing support. It involves lying face down and curling the legs towards the glutes, focusing on hamstring engagement.",beginner,strength
back,leverage machine,https://v2.exercisedb.io/image/pa1777eIMRc6j6,0017,assisted pull-up,lats,"['biceps', 'forearms']","['Adjust the machine to your desired weight and height settings.', 'Grasp the handles with an overhand grip, slightly wider than shoulder-width apart.', 'Hang with your arms fully extended and your feet off the ground.', 'Engage your back muscles and pull your body up towards the handles, keeping your elbows close to your body.', 'Continue pulling until your chin is above the handles.', 'Pause for a moment at the top, then slowly lower your body back down to the starting position.', 'Repeat for the desired number of repetitions.']","The assisted pull-up is a machine-based exercise that helps users perform pull-ups with added support, making it easier to lift their body weight. It primarily targets the latissimus dorsi (lats) and also engages the biceps and forearms.",beginner,strength
upper arms,assisted (towel),https://v2.exercisedb.io/image/7nG6JgrKygrfSN,0018,assisted standing triceps extension (with towel),triceps,['shoulders'],"['Stand with your feet shoulder-width apart and hold a towel with both hands behind your head.', 'Keep your elbows close to your ears and your upper arms stationary.', 'Slowly extend your forearms upward, squeezing your triceps at the top.', 'Pause for a moment, then slowly lower the towel back down to the starting position.', 'Repeat for the desired number of repetitions.']","The assisted standing triceps extension (with towel) is an exercise targeting the triceps using a towel for assistance. It is performed standing, with the towel held behind the head, extending the arms upward to work the triceps.",beginner,strength
upper arms,leverage machine,https://v2.exercisedb.io/image/YiK9kQ0tFytkJj,0019,assisted triceps dip (kneeling),triceps,"['chest', 'shoulders']","['Adjust the machine to your desired weight and height.', 'Kneel down on the pad facing the machine, with your hands gripping the handles.', 'Lower your body by bending your elbows, keeping your back straight and close to the machine.', 'Pause for a moment at the bottom, then push yourself back up to the starting position.', 'Repeat for the desired number of repetitions.']","The assisted triceps dip (kneeling) is performed on a leverage machine, allowing users to target the triceps with support, making the exercise accessible for those who may not yet have the strength for unassisted dips. It also engages the chest and shoulders as secondary muscles.",beginner,strength
upper legs,body weight,https://v2.exercisedb.io/image/SzxiTqgNntXPSC,0020,balance board,quads,"['calves', 'hamstrings', 'glutes']","['Place the balance board on a flat surface.', 'Step onto the balance board with one foot, ensuring it is centered.', 'Slowly shift your weight onto the foot on the balance board, keeping your core engaged.', 'Maintain your balance and stability as you hold the position for a desired amount of time.', 'Repeat the exercise with the other foot.']","The balance board exercise involves standing on a balance board with one foot, engaging the core and lower body muscles to maintain stability and balance. This exercise primarily targets the quads, while also engaging the calves, hamstrings, and glutes as secondary muscles.",intermediate,balance
back,barbell,https://v2.exercisedb.io/image/U7BucMj5U82lwQ,0022,barbell pullover to press,lats,"['triceps', 'chest', 'shoulders']","['Lie flat on a bench with your head at one end and your feet on the ground.', 'Hold the barbell with a pronated grip (palms facing away from you) and extend your arms straight above your chest.', 'Keeping your arms straight, lower the barbell behind your head in an arc-like motion until you feel a stretch in your lats.', 'Pause for a moment, then reverse the motion and press the barbell back to the starting position above your chest.', 'Repeat for the desired number of repetitions.']","The barbell pullover to press is a compound exercise that targets the lats and also works the triceps, chest, and shoulders. It involves lowering a barbell behind your head while lying on a bench, then pressing it back up over your chest.",intermediate,strength
upper arms,barbell,https://v2.exercisedb.io/image/WEUnlsifxe9LB0,0023,barbell alternate biceps curl,biceps,['forearms'],"['Stand up straight with your feet shoulder-width apart and hold a barbell in each hand, palms facing forward.', 'Keep your upper arms stationary and exhale as you curl the weights while contracting your biceps.', 'Continue to raise the barbells until your biceps are fully contracted and the barbells are at shoulder level.', 'Hold the contracted position for a brief pause as you squeeze your biceps.', 'Inhale as you slowly begin to lower the barbells back to the starting position.', 'Repeat for the desired number of repetitions, alternating arms.']","The barbell alternate biceps curl is a strength exercise targeting the biceps, performed by alternately curling a barbell with each arm while standing. It also engages the forearms as secondary muscles.",beginner,strength
upper legs,barbell,https://v2.exercisedb.io/image/yqyw-j4Ew9Pivd,0024,barbell bench front squat,quads,"['hamstrings', 'glutes', 'calves']","['Start by standing with your feet shoulder-width apart and the barbell resting on your upper chest, just below your collarbone.', 'Hold the barbell with an overhand grip, keeping your elbows up and your upper arms parallel to the ground.', 'Lower your body down into a squat position by bending at the knees and hips, keeping your back straight and your chest up.', 'Pause for a moment at the bottom of the squat, then push through your heels to return to the starting position.', 'Repeat for the desired number of repetitions.']","The barbell bench front squat is a compound lower body exercise that targets the quadriceps, with secondary emphasis on the hamstrings, glutes, and calves. It requires holding a barbell in the front rack position and performing a squat, demanding good core stability, balance, and mobility.",intermediate,strength
chest,barbell,https://v2.exercisedb.io/image/xOvWqGYRkXbLVO,0025,barbell bench press,pectorals,"['triceps', 'shoulders']","['Lie flat on a bench with your feet flat on the ground and your back pressed against the bench.', 'Grasp the barbell with an overhand grip slightly wider than shoulder-width apart.', 'Lift the barbell off the rack and hold it directly above your chest with your arms fully extended.', 'Lower the barbell slowly towards your chest, keeping your elbows tucked in.', 'Pause for a moment when the barbell touches your chest.', 'Push the barbell back up to the starting position by extending your arms.', 'Repeat for the desired number of repetitions.']","The barbell bench press is a classic compound exercise that primarily targets the pectoral muscles, while also engaging the triceps and shoulders. It is performed by lying on a bench and pressing a barbell up and down in a controlled manner.",intermediate,strength
upper legs,barbell,https://v2.exercisedb.io/image/Osm4mfo4yQ0mRp,0026,barbell bench squat,quads,"['glutes', 'hamstrings', 'calves']","['Set up a barbell on a squat rack at chest height.', 'Stand facing away from the rack, with your feet shoulder-width apart.', 'Bend your knees and lower your body down into a squat position, keeping your back straight and chest up.', 'Grasp the barbell with an overhand grip, slightly wider than shoulder-width apart.', 'Lift the barbell off the rack and step back, ensuring your feet are still shoulder-width apart.', 'Lower your body down into a squat, keeping your knees in line with your toes.', 'Pause for a moment at the bottom, then push through your heels to return to the starting position.', 'Repeat for the desired number of repetitions.']","The barbell bench squat is a compound lower body exercise that primarily targets the quadriceps, while also engaging the glutes, hamstrings, and calves. It involves squatting with a barbell, requiring good technique and strength.",intermediate,strength
back,barbell,https://v2.exercisedb.io/image/8R45ZNp6ZleQjB,0027,barbell bent over row,upper back,"['biceps', 'forearms']","['Stand with your feet shoulder-width apart and knees slightly bent.', 'Bend forward at the hips while keeping your back straight and chest up.', 'Grasp the barbell with an overhand grip, hands slightly wider than shoulder-width apart.', 'Pull the barbell towards your lower chest by retracting your shoulder blades and squeezing your back muscles.', 'Pause for a moment at the top, then slowly lower the barbell back to the starting position.', 'Repeat for the desired number of repetitions.']","The barbell bent over row is a compound exercise targeting the upper back, requiring the lifter to hinge at the hips and pull a barbell towards the torso. It develops strength and muscle mass in the upper back, biceps, and forearms, and demands good posture and core stability.",intermediate,strength
upper legs,barbell,https://v2.exercisedb.io/image/cMnRfoUkDLsG2A,0028,barbell clean and press,quads,"['hamstrings', 'glutes', 'shoulders', 'triceps']","['Stand with your feet shoulder-width apart and the barbell on the floor in front of you.', 'Bend your knees and hinge at the hips to lower down and grip the barbell with an overhand grip, hands slightly wider than shoulder-width apart.', 'Drive through your heels and extend your hips and knees to lift the barbell off the floor, keeping it close to your body.', 'As the barbell reaches your thighs, explosively extend your hips, shrug your shoulders, and pull the barbell up towards your chest.', 'As the barbell reaches chest height, quickly drop under it and catch it at shoulder level, with your elbows pointing forward and your palms facing up.', 'From the catch position, press the barbell overhead by extending your arms and pushing the barbell straight up.', 'Lower the barbell back down to the starting position and repeat for the desired number of repetitions.']","The barbell clean and press is a compound exercise that targets the quads and involves lifting a barbell from the floor to the shoulders (clean) and then pressing it overhead (press). It requires strength, coordination, and explosive power.",advanced,strength
upper legs,barbell,https://v2.exercisedb.io/image/es-pr2BD2GK4lW,0029,barbell clean-grip front squat,glutes,"['quadriceps', 'hamstrings', 'calves', 'core']","['Start by standing with your feet shoulder-width apart and the barbell resting on your upper chest, with your elbows pointing forward.', 'Lower your body by bending your knees and pushing your hips back, as if you are sitting back into a chair.', 'Keep your chest up and your back straight as you lower down, making sure your knees do not go past your toes.', 'Continue lowering until your thighs are parallel to the ground, or as low as you can comfortably go.', 'Pause for a moment at the bottom, then push through your heels to stand back up, extending your hips and knees.', 'Repeat for the desired number of repetitions.']","The barbell clean-grip front squat is a compound lower body exercise that targets the glutes, quadriceps, and hamstrings, while also engaging the core for stability. It requires holding a barbell in the clean grip position on the front of the shoulders, demanding good mobility and strength.",intermediate,strength
upper arms,barbell,https://v2.exercisedb.io/image/5EDMQgtRmBaaYZ,0030,barbell close-grip bench press,triceps,"['chest', 'shoulders']","['Lie flat on a bench with your feet flat on the ground and your back pressed against the bench.', 'Grasp the barbell with a close grip, slightly narrower than shoulder-width apart.', 'Unrack the barbell and lower it slowly towards your chest, keeping your elbows close to your body.', 'Pause for a moment when the barbell touches your chest.', 'Push the barbell back up to the starting position, fully extending your arms.', 'Repeat for the desired number of repetitions.']","The barbell close-grip bench press is a compound exercise primarily targeting the triceps, with secondary emphasis on the chest and shoulders. It is performed by lying on a bench, gripping the barbell with a close grip, and pressing the weight up and down while keeping the elbows close to the body.",intermediate,strength
upper arms,barbell,https://v2.exercisedb.io/image/c7AlgDQ-7S2igU,0031,barbell curl,biceps,['forearms'],"['Stand up straight with your feet shoulder-width apart and hold a barbell with an underhand grip, palms facing forward.', 'Keep your elbows close to your torso and exhale as you curl the weights while contracting your biceps.', 'Continue to raise the bar until your biceps are fully contracted and the bar is at shoulder level.', 'Hold the contracted position for a brief pause as you squeeze your biceps.', 'Inhale as you slowly begin to lower the bar back to the starting position.', 'Repeat for the desired number of repetitions.']","The barbell curl is a classic strength exercise targeting the biceps, performed by curling a barbell from the thighs to the shoulders while keeping the elbows close to the torso.",beginner,strength
upper legs,barbell,https://v2.exercisedb.io/image/YLtC3LrgXpG-zU,0032,barbell deadlift,glutes,"['hamstrings', 'lower back']","['Stand with your feet shoulder-width apart and the barbell on the ground in front of you.', 'Bend your knees and hinge at the hips to lower your torso and grip the barbell with an overhand grip, hands slightly wider than shoulder-width apart.', 'Keep your back straight and chest lifted as you drive through your heels to lift the barbell off the ground, extending your hips and knees.', 'As you stand up straight, squeeze your glutes and keep your core engaged.', 'Lower the barbell back down to the ground by bending at the hips and knees, keeping your back straight.', 'Repeat for the desired number of repetitions.']","The barbell deadlift is a compound strength exercise that targets the glutes, hamstrings, and lower back. It involves lifting a loaded barbell from the ground to a standing position, emphasizing proper form and core engagement.",intermediate,strength
chest,barbell,https://v2.exercisedb.io/image/OW5h3URsJ1X1Xe,0033,barbell decline bench press,pectorals,"['triceps', 'shoulders']","['Lie on a decline bench with your feet secured and your head lower than your hips.', 'Grasp the barbell with an overhand grip slightly wider than shoulder-width apart.', 'Unrack the barbell and lower it slowly towards your chest, keeping your elbows tucked in.', 'Pause for a moment at the bottom, then push the barbell back up to the starting position.', 'Repeat for the desired number of repetitions.']","The barbell decline bench press is a compound exercise targeting the lower portion of the pectoral muscles. It is performed on a decline bench, requiring the lifter to press a barbell upward from a declined position, engaging the chest, triceps, and shoulders.",intermediate,strength
back,barbell,https://v2.exercisedb.io/image/GDUI06s5pY21kz,0034,barbell decline bent arm pullover,lats,"['triceps', 'chest']","['Lie down on a decline bench with your head lower than your hips and your feet secured.', 'Hold a barbell with a pronated grip (palms facing away from you) and extend your arms straight above your chest.', 'Lower the barbell behind your head in a controlled manner, keeping your arms slightly bent.', 'Pause for a moment, then raise the barbell back to the starting position by contracting your lats.', 'Repeat for the desired number of repetitions.']","The barbell decline bent arm pullover is a compound exercise primarily targeting the lats, performed on a decline bench with a barbell. It also engages the triceps and chest as secondary muscles. The movement requires good control and strength to safely lower and lift the barbell over the head while maintaining proper form.",intermediate,strength
upper arms,barbell,https://v2.exercisedb.io/image/eoGEcOWb2MUpuQ,0035,barbell decline close grip to skull press,triceps,"['chest', 'shoulders']","['Lie on a decline bench with your head lower than your feet and hold a barbell with a close grip.', 'Lower the barbell towards your forehead by bending your elbows, keeping your upper arms stationary.', 'Pause for a moment, then extend your arms to press the barbell back up to the starting position.', 'Repeat for the desired number of repetitions.']","The barbell decline close grip to skull press is a compound exercise targeting the triceps, performed on a decline bench with a close grip on the barbell. It combines elements of a close grip press and a skull crusher, challenging both triceps strength and stability.",intermediate,strength
chest,barbell,https://v2.exercisedb.io/image/kqyieohLvd51cT,0036,barbell decline wide-grip press,pectorals,"['triceps', 'shoulders']","['Lie on a decline bench with your feet secured and your head lower than your hips.', 'Grasp the barbell with a wide grip, slightly wider than shoulder-width apart.', 'Lower the barbell to your chest, keeping your elbows out to the sides.', 'Push the barbell back up to the starting position, fully extending your arms.', 'Repeat for the desired number of repetitions.']",The barbell decline wide-grip press is a compound chest exercise performed on a decline bench using a barbell with a wide grip. It targets the lower portion of the pectoral muscles and also engages the triceps and shoulders.,intermediate,strength
back,barbell,https://v2.exercisedb.io/image/jIz8WtM1j5TvHJ,0037,barbell decline wide-grip pullover,lats,"['triceps', 'chest']","['Lie on a decline bench with your head lower than your hips and your feet secured.', 'Hold a barbell with a wide grip and extend your arms straight above your chest.', 'Lower the barbell behind your head in a controlled manner, keeping your arms straight.', 'Pause for a moment, then raise the barbell back to the starting position.', 'Repeat for the desired number of repetitions.']","The barbell decline wide-grip pullover is a compound exercise performed on a decline bench, targeting the lats while also engaging the triceps and chest. It requires a barbell and involves lowering the weight behind the head with straight arms, then returning to the starting position.",intermediate,strength
upper arms,barbell,https://v2.exercisedb.io/image/FhOGfvefm8PtWF,0038,barbell drag curl,biceps,['forearms'],"['Stand with your feet shoulder-width apart and hold a barbell with an underhand grip, palms facing up.', ""Let the barbell hang at arm's length in front of your thighs."", 'Keeping your upper arms stationary, curl the barbell up towards your chest by contracting your biceps.', 'Pause for a moment at the top, then slowly lower the barbell back down to the starting position.', 'Repeat for the desired number of repetitions.']","The barbell drag curl is a biceps-focused exercise that involves curling a barbell while keeping the elbows pulled back, emphasizing the contraction of the biceps and minimizing shoulder involvement. It also engages the forearms as secondary muscles.",intermediate,strength
upper legs,barbell,https://v2.exercisedb.io/image/sZDHrn8KCUpIdo,0039,barbell front chest squat,glutes,"['quadriceps', 'hamstrings', 'calves', 'core']","['Start by standing with your feet shoulder-width apart, toes slightly turned out.', 'Hold the barbell in front of your chest with your hands shoulder-width apart, elbows pointing forward.', 'Engage your core and keep your chest up as you lower your body down into a squat position, pushing your hips back and bending your knees.', 'Lower until your thighs are parallel to the ground, or as low as you can comfortably go.', 'Pause for a moment at the bottom, then push through your heels to return to the starting position.', 'Repeat for the desired number of repetitions.']","The barbell front chest squat is a compound lower body exercise that targets the glutes and also works the quadriceps, hamstrings, calves, and core. It involves holding a barbell at the front of the chest and performing a squat, which requires strength, balance, and proper technique.",intermediate,strength
chest,barbell,https://v2.exercisedb.io/image/rsWbDCDDIMwGY0,0040,barbell front raise and pullover,pectorals,"['deltoids', 'triceps']","['Stand with your feet shoulder-width apart and hold a barbell with an overhand grip, palms facing down.', 'Keep your arms straight and raise the barbell in front of you until it reaches shoulder height.', 'Pause for a moment at the top, then slowly lower the barbell back down to the starting position.', 'Next, lower the barbell behind your head, keeping your arms straight.', 'Pause for a moment at the bottom, then raise the barbell back up to the starting position.', 'Repeat for the desired number of repetitions.']","The barbell front raise and pullover is a compound exercise targeting the pectorals, with secondary emphasis on the deltoids and triceps. It involves raising a barbell in front of the body and then performing a pullover motion behind the head, requiring strength, coordination, and shoulder mobility.",intermediate,strength
shoulders,barbell,https://v2.exercisedb.io/image/li4Gdho7Xzrxgv,0041,barbell front raise,delts,"['biceps', 'triceps']","['Stand with your feet shoulder-width apart and hold a barbell in front of your thighs with an overhand grip.', 'Keep your arms straight and lift the barbell forward and upward until it reaches shoulder level.', 'Pause for a moment at the top, then slowly lower the barbell back down to the starting position.', 'Repeat for the desired number of repetitions.']",The barbell front raise is a shoulder exercise that targets the deltoids by lifting a barbell from the thighs to shoulder height with straight arms.,beginner,strength
upper legs,barbell,https://v2.exercisedb.io/image/-f6HZdAUzyRdDN,0042,barbell front squat,glutes,"['quadriceps', 'hamstrings', 'calves', 'core']","['Start by standing with your feet shoulder-width apart, toes slightly turned out.', 'Hold the barbell in front of your shoulders, resting it on your collarbone and shoulders.', 'Engage your core and keep your chest up as you lower your body down into a squat position, pushing your hips back and bending your knees.', 'Lower until your thighs are parallel to the ground, or as low as you can comfortably go.', 'Pause for a moment at the bottom, then push through your heels to return to the starting position.', 'Repeat for the desired number of repetitions.']","The barbell front squat is a compound lower body exercise that targets the glutes, quadriceps, and hamstrings, while also engaging the core for stability. The barbell is held in front of the shoulders, requiring good mobility and core strength to maintain proper posture throughout the movement.",intermediate,strength
upper legs,barbell,https://v2.exercisedb.io/image/2ayMUUbzVGUbHe,0043,barbell full squat,glutes,"['quadriceps', 'hamstrings', 'calves', 'core']","['Stand with your feet shoulder-width apart, toes slightly turned out.', 'Hold the barbell across your upper back, resting it on your traps or rear delts.', 'Engage your core and keep your chest up as you begin to lower your body down.', 'Bend at the knees and hips, pushing your hips back and down as if sitting into a chair.', 'Lower yourself until your thighs are parallel to the ground or slightly below.', 'Keep your knees in line with your toes and your weight in your heels.', 'Drive through your heels to stand back up, extending your hips and knees.', 'Repeat for the desired number of repetitions.']","The barbell full squat is a compound lower body exercise that targets the glutes and also works the quadriceps, hamstrings, calves, and core. It involves squatting down with a barbell placed across the upper back, requiring strength, balance, and proper technique.",intermediate,strength
upper legs,barbell,https://v2.exercisedb.io/image/PU06HHRKmmHfu7,0044,barbell good morning,hamstrings,['lower back'],"['Start by standing with your feet shoulder-width apart and the barbell resting on your upper back.', 'Keeping your back straight and your core engaged, hinge forward at the hips, pushing your buttocks back as if you were trying to touch the wall behind you with your glutes.', 'Lower your torso until it is parallel to the ground, feeling a stretch in your hamstrings.', 'Pause for a moment, then return to the starting position by squeezing your glutes and pushing your hips forward.', 'Repeat for the desired number of repetitions.']","The barbell good morning is a compound exercise that targets the hamstrings and lower back. It involves hinging at the hips with a barbell on your upper back, requiring good form and core stability to perform safely.",intermediate,strength
chest,barbell,https://v2.exercisedb.io/image/QZh7bgdo-dK2WX,0045,barbell guillotine bench press,pectorals,"['shoulders', 'triceps']","['Lie flat on a bench with your feet flat on the ground and your back pressed against the bench.', 'Grasp the barbell with an overhand grip, slightly wider than shoulder-width apart.', 'Lower the barbell slowly towards your neck, keeping your elbows pointed outwards.', 'Pause for a moment when the barbell is just above your neck.', 'Push the barbell back up to the starting position, fully extending your arms.', 'Repeat for the desired number of repetitions.']","The barbell guillotine bench press is a variation of the bench press where the bar is lowered to the neck instead of the chest, placing greater emphasis on the upper pectorals. This exercise requires careful control and proper technique to avoid injury.",advanced,strength
upper legs,barbell,https://v2.exercisedb.io/image/xwMwQvDKtUKPfT,0046,barbell hack squat,glutes,"['quadriceps', 'hamstrings', 'calves']","['Start by standing with your feet shoulder-width apart and your toes slightly turned out.', 'Hold the barbell behind your legs, resting it on your upper thighs.', 'Lower your body by bending at the knees and hips, keeping your back straight and your chest up.', 'Continue lowering until your thighs are parallel to the ground, or as low as you can comfortably go.', 'Pause for a moment, then push through your heels to return to the starting position.', 'Repeat for the desired number of repetitions.']","The barbell hack squat is a lower body strength exercise that targets the glutes, quadriceps, hamstrings, and calves. It involves holding a barbell behind the legs and performing a squat motion, emphasizing the posterior chain and quadriceps.",intermediate,strength
chest,barbell,https://v2.exercisedb.io/image/1m-rnsMVJxmKVu,0047,barbell incline bench press,pectorals,"['shoulders', 'triceps']","['Set up an incline bench at a 45-degree angle.', 'Lie down on the bench with your feet flat on the ground.', 'Grasp the barbell with an overhand grip, slightly wider than shoulder-width apart.', 'Unrack the barbell and lower it slowly towards your chest, keeping your elbows at a 45-degree angle.', 'Pause for a moment at the bottom, then push the barbell back up to the starting position.', 'Repeat for the desired number of repetitions.']","The barbell incline bench press is a compound upper-body exercise that targets the upper portion of the pectoral muscles, with secondary emphasis on the shoulders and triceps. It is performed on an incline bench using a barbell, making it a staple in strength training routines for developing chest size and strength.",intermediate,strength
